s1,s2,s3,s4,s5,s6,s7,s8,a1,a2,reward,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done
-0.09180529521276107,-0.09669447289429418,0.06265404784005449,0.08255111545554436,0.021327155153435973,0.045899312196799685,0.008724998293084568,0.08701448475755366,-0.250919762305275,0.9014286128198323,0.019283991,-0.07548606423479622,-0.1329964398328909,0.11374276341404513,-0.04438374414464993,-0.7648064300417665,0.745523205636993,-1.7622979246375954,2.3809073739842237,0.0
-0.07548606423479622,-0.1329964398328909,0.11374276341404513,-0.04438374414464993,-0.7648064300417665,0.745523205636993,-1.7622979246375954,2.3809073739842237,0.4639878836228102,0.1973169683940732,-0.019039346,-0.05760437278465484,-0.18321815833847496,0.19661832230756934,0.004147050907333834,-0.21560987857331806,0.16695287546560744,-0.784814165415962,1.795583272848209,0.0
-0.05760437278465484,-0.18321815833847496,0.19661832230756934,0.004147050907333834,-0.21560987857331806,0.16695287546560744,-0.784814165415962,1.795583272848209,-0.687962719115127,-0.6880109593275947,-0.0072628707,-0.04015929820017866,-0.22367864778091814,0.25229335331828084,-0.013449872835923986,-0.6462967371186237,0.6976940480868739,-1.2378013264509724,1.0199668310315346,0.0
-0.04015929820017866,-0.22367864778091814,0.25229335331828084,-0.013449872835923986,-0.6462967371186237,0.6976940480868739,-1.2378013264509724,1.0199668310315346,-0.8838327756636011,0.7323522915498704,-0.10755531,0.01132672045107261,-0.3224985523937877,0.34117011140773157,-0.18579186473628131,-1.7607541207777349,1.7816129389679902,-3.514695402299689,3.243978520268581,0.0
0.01132672045107261,-0.3224985523937877,0.34117011140773157,-0.18579186473628131,-1.7607541207777349,1.7816129389679902,-3.514695402299689,3.243978520268581,0.2022300234864176,0.416145155592091,-0.16986047,0.07158834155510123,-0.4467085655783005,0.4654307920040148,-0.16322343982078122,-1.2829671641369975,1.2666202330246925,-2.7529768131641594,2.9998920386497514,0.0
0.07158834155510123,-0.4467085655783005,0.4654307920040148,-0.16322343982078122,-1.2829671641369975,1.2666202330246925,-2.7529768131641594,2.9998920386497514,-0.9588310114083951,0.9398197043239886,-0.2425556,0.1386600886862738,-0.5913133711410369,0.6181107305268372,-0.30759834580917245,-1.989718678309774,1.9899514880198252,-4.277464724405949,4.43139197761247,0.0
0.1386600886862738,-0.5913133711410369,0.6181107305268372,-0.30759834580917245,-1.989718678309774,1.9899514880198252,-4.277464724405949,4.43139197761247,0.6648852816008435,-0.5753217786434477,-0.21510078,0.19435545597341966,-0.7129287063907529,0.7460569053648983,-0.13766443363961167,-0.9012943266835916,0.8995943054237877,-2.0202001269427403,2.1909630589924225,0.0
0.19435545597341966,-0.7129287063907529,0.7460569053648983,-0.13766443363961167,-0.9012943266835916,0.8995943054237877,-2.0202001269427403,2.1909630589924225,-0.6363500655857988,-0.6331909802931324,-0.07986557,0.2378352419900037,-0.7983174894702514,0.81733714234084,-0.017527024679926395,-1.1665013101979063,1.2630834763874261,-2.2432190678378814,1.398969731994638,0.0
0.2378352419900037,-0.7983174894702514,0.81733714234084,-0.017527024679926395,-1.1665013101979063,1.2630834763874261,-2.2432190678378814,1.398969731994638,-0.39151551408092455,0.04951286326447568,-0.0074944,0.290874308199669,-0.8924256569490314,0.8752116022273673,0.003929069574890696,-1.256946693981121,1.379306599191964,-2.4466077412011504,1.4860057657271026,0.0
0.290874308199669,-0.8924256569490314,0.8752116022273673,0.003929069574890696,-1.256946693981121,1.379306599191964,-2.4466077412011504,1.4860057657271026,-0.13610996271576847,-0.4175417196039162,0.054555822,0.34380219673506757,-0.9827101178502128,0.9212265928078917,0.10469642467948709,-1.1301151924263333,1.2772877254083774,-2.087592476626189,0.8328480596479667,0.0
0.34380219673506757,-0.9827101178502128,0.9212265928078917,0.10469642467948709,-1.1301151924263333,1.2772877254083774,-2.087592476626189,0.8328480596479667,0.22370578944475894,-0.7210122786959163,0.17246768,0.3886581970792102,-1.049823591486711,0.9320130798175366,0.23833708120073693,-0.8341780167813968,0.9839475182289834,-1.2982053193796699,-0.2718814075299062,0.0
0.3886581970792102,-1.049823591486711,0.9320130798175366,0.23833708120073693,-0.8341780167813968,0.9839475182289834,-1.2982053193796699,-0.2718814075299062,-0.4157107029295637,-0.2672763134126166,0.27971244,0.43220976218839896,-1.1061599480919253,0.9177334232747875,0.32179001253137424,-0.9767512228675836,1.1844676638819267,-1.5063294504032585,-0.44041849341659245,0.0
